server_id,timestamp,region,instance_type,vcpu_usage,ram_usage,cpu_cores,network_in,network_out,disk_read,disk_write,cost_per_hour,carbon_intensity
vm-101,2026-04-16T10:00:00Z,us-east,t3.large,72.5,14.2,2,120.5,98.3,30.2,15.1,0.083,400
vm-102,2026-04-16T10:00:00Z,india,m5.xlarge,91.3,28.7,4,210.8,180.4,55.3,40.2,0.192,700
vm-103,2026-04-16T10:00:00Z,europe,c5.large,35.6,8.4,2,95.2,60.1,20.0,10.5,0.085,200
vm-104,2026-04-16T10:00:00Z,china,r5.xlarge,65.9,32.1,4,180.7,140.9,48.2,35.7,0.210,650
vm-105,2026-04-16T10:00:00Z,us-west,t3.medium,12.4,6.8,2,40.3,30.2,10.1,5.3,0.041,350
vm-106,2026-04-16T10:00:00Z,india,m5.large,5.2,24.5,2,60.5,45.2,12.4,8.6,0.096,700
vm-107,2026-04-16T10:00:00Z,europe,c5.xlarge,88.7,16.3,4,240.9,210.2,70.5,60.4,0.170,200
vm-108,2026-04-16T10:00:00Z,china,r5.large,48.3,20.7,2,130.6,95.8,33.2,22.1,0.126,650
vm-109,2026-04-16T10:00:00Z,us-east,t3.large,2.1,10.4,2,25.1,18.7,5.2,2.1,0.083,400
vm-110,2026-04-16T10:00:00Z,india,m5.xlarge,96.5,35.9,4,300.4,250.6,80.7,65.2,0.192,700
vm-111,2026-04-16T10:00:00Z,europe,c5.large,18.7,7.9,2,70.2,50.3,15.6,9.4,0.085,200
vm-112,2026-04-16T10:00:00Z,china,r5.xlarge,74.2,29.6,4,200.3,170.8,60.1,42.3,0.210,650
vm-113,2026-04-16T10:00:00Z,us-west,t3.medium,9.5,5.2,2,35.0,28.1,8.3,4.7,0.041,350
vm-114,2026-04-16T10:00:00Z,india,m5.large,63.1,22.4,2,150.7,120.3,40.2,30.5,0.096,700
vm-115,2026-04-16T10:00:00Z,europe,c5.xlarge,82.4,14.8,4,260.5,220.1,75.2,58.6,0.170,200
